===============================================================================
                                     CVXPY                                     
                                     v1.4.1                                    
===============================================================================
(CVXPY) Jan 13 12:57:59 PM: Your problem has 40000 variables, 1095 constraints, and 0 parameters.
(CVXPY) Jan 13 12:57:59 PM: It is compliant with the following grammars: DCP, DQCP
(CVXPY) Jan 13 12:57:59 PM: (If you need to solve this problem multiple times, but with different data, consider using parameters.)
(CVXPY) Jan 13 12:57:59 PM: CVXPY will first compile your problem; then, it will invoke a numerical solver to obtain a solution.
(CVXPY) Jan 13 12:57:59 PM: Your problem is compiled with the CPP canonicalization backend.
-------------------------------------------------------------------------------
                                  Compilation                                  
-------------------------------------------------------------------------------
(CVXPY) Jan 13 12:58:00 PM: Compiling problem (target solver=SCS).
(CVXPY) Jan 13 12:58:00 PM: Reduction chain: FlipObjective -> Dcp2Cone -> CvxAttr2Constr -> ConeMatrixStuffing -> SCS
(CVXPY) Jan 13 12:58:00 PM: Applying reduction FlipObjective
(CVXPY) Jan 13 12:58:00 PM: Applying reduction Dcp2Cone
(CVXPY) Jan 13 12:58:00 PM: Applying reduction CvxAttr2Constr
(CVXPY) Jan 13 12:58:01 PM: Applying reduction ConeMatrixStuffing
(CVXPY) Jan 13 12:58:59 PM: Applying reduction SCS
(CVXPY) Jan 13 12:59:02 PM: Finished problem compilation (took 6.286e+01 seconds).
-------------------------------------------------------------------------------
                                Numerical solver                               
-------------------------------------------------------------------------------
(CVXPY) Jan 13 12:59:02 PM: Invoking solver SCS  to obtain a solution.
------------------------------------------------------------------
	       SCS v3.2.4 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012
------------------------------------------------------------------
problem:  variables n: 20100, constraints m: 21195
cones: 	  z: primal zero / dual free vars: 1094
	  l: linear vars: 1
	  s: psd vars: 20100, ssize: 1
settings: eps_abs: 1.0e-05, eps_rel: 1.0e-05, eps_infeas: 1.0e-07
	  alpha: 1.50, scale: 1.00e+05, adaptive_scale: 1
	  max_iters: 100000, normalize: 1, rho_x: 1.00e-06
	  acceleration_lookback: 10, acceleration_interval: 10
lin-sys:  sparse-direct-amd-qdldl
	  nnz(A): 43679, nnz(P): 0
------------------------------------------------------------------
 iter | pri res | dua res |   gap   |   obj   |  scale  | time (s)
------------------------------------------------------------------
     0| 1.99e+07  1.18e+11  4.22e+15 -2.11e+15  1.00e+05  3.22e-01 
   250| 1.10e+03  2.76e+05  5.48e+12 -2.74e+12  1.50e+01  1.35e+01 
   500| 8.50e+03  5.33e+01  1.05e+09 -2.75e+09  8.36e-04  2.60e+01 
   750| 4.39e+03  2.64e-04  6.87e+03 -1.42e+09  2.56e-05  3.80e+01 
  1000| 4.29e+03  2.21e-04  6.40e+03 -1.42e+09  2.56e-05  4.96e+01 
  1250| 4.21e+03  1.94e-04  6.17e+03 -1.42e+09  2.56e-05  6.16e+01 
  1500| 4.13e+03  1.74e-04  6.01e+03 -1.41e+09  2.56e-05  7.49e+01 
  1750| 4.05e+03  1.59e-04  5.80e+03 -1.41e+09  2.56e-05  8.82e+01 
  2000| 3.98e+03  1.47e-04  5.68e+03 -1.41e+09  2.56e-05  1.03e+02 
  2250| 3.91e+03  1.38e-04  5.48e+03 -1.41e+09  2.56e-05  1.16e+02 
  2500| 3.84e+03  1.30e-04  5.27e+03 -1.41e+09  2.56e-05  1.29e+02 
  2750| 3.77e+03  1.23e-04  5.16e+03 -1.41e+09  2.56e-05  1.42e+02 
  3000| 3.71e+03  1.18e-04  5.12e+03 -1.41e+09  2.56e-05  1.54e+02 
  3250| 2.08e+03  2.56e-02  1.48e+05 -1.37e+09  2.56e-05  1.67e+02 
  3500| 3.59e+03  1.12e-04  4.89e+03 -1.40e+09  2.56e-05  1.81e+02 
  3750| 3.53e+03  1.08e-04  4.69e+03 -1.40e+09  2.56e-05  1.94e+02 
  4000| 3.47e+03  1.06e-04  4.62e+03 -1.40e+09  2.56e-05  2.07e+02 
  4250| 3.41e+03  1.03e-04  4.59e+03 -1.40e+09  2.56e-05  2.21e+02 
  4500| 3.36e+03  1.01e-04  4.49e+03 -1.40e+09  2.56e-05  2.34e+02 
  4750| 3.30e+03  9.85e-05  4.40e+03 -1.40e+09  2.56e-05  2.47e+02 
  5000| 3.25e+03  9.62e-05  4.24e+03 -1.40e+09  2.56e-05  2.61e+02 
  5250| 3.20e+03  9.42e-05  4.13e+03 -1.39e+09  2.56e-05  2.74e+02 
  5500| 3.15e+03  9.25e-05  4.11e+03 -1.39e+09  2.56e-05  2.87e+02 
